Policy,Mean Reward,Std Reward,Min Reward,Max Reward,Avg Episode Length
PPO,26.42403553609581,7.181587726117175,1.7102349887911172,41.21412562903992,18.933
Rule-Based,17.054438890964768,3.5838583132992747,-6.826341555550235,23.57825485977905,9.398
Random,7.087124477238284,6.74966325884448,-11.202240673900873,34.3605054893893,6.076
